#np,prepare,scatter,parallel,reorder,total,gather,recv
1,34.367618,16.890788,2.636777,7.409648,92.75,63.477763,1
4,34.875891,13.74385,0.65149,7.633853,88.86,75.073976,65.917219
8,34.89857,14.296891,0.329762,7.61483,89.61,75.708068,66.490942
12,34.862853,14.247862,0.214989,7.625162,89.54,75.502689,66.382795
16,34.893089,15.373247,0.161279,7.626276,89.97,75.490784,67.559309
20,35.081751,14.68682,0.130849,7.628385,89.28,74.687964,67.071668
24,35.474837,15.618031,0.107652,8.017346,91.47,76.458977,68.402277
