#np,prepare,scatter,parallel,reorder,total,gather,recv
1,33.563126,16.583351,2.586384,7.130226,90.69,62.162387,1
4,34.488884,14.020294,0.645872,7.110904,89.41,57.845617,65.706055
8,34.44586,14.722222,0.326084,7.184435,90.02,75.941373,66.427417
12,34.434073,14.722614,0.217643,7.130863,89.79,75.84336,66.416799
16,34.265325,15.620118,0.159521,6.977661,89.04,75.133389,67.042599
20,34.655731,14.718314,0.129633,7.03894,88.3,74.272207,66.560996
24,34.754675,15.522513,0.10961,7.328999,89.77,75.443112,67.378802
