#np,prepare,scatter,parallel,reorder,total,gather,recv
1,34.0217,16.861701,2.636714,7.275452,92.09,63.10695,1
4,34.491226,13.662497,0.650049,7.041119,87.77,74.531653,65.440679
8,34.561302,14.236077,0.322958,7.091673,88.66,75.252154,66.062637
12,34.553215,14.247866,0.219642,7.044485,88.7,75.206757,66.08136
16,34.754717,15.381765,0.161214,7.035959,89.28,75.3716,67.410377
20,34.837359,14.677812,0.131734,7.045798,88.39,74.408105,66.791254
24,35.005342,15.559312,0.109497,7.421027,90.34,75.889848,67.852986
